source_url,target1_url,rank1,metric1,target2_url,rank2,metric2
https://github.com/FlipTheCat/ubiquitous-octo-potato/upload/main/afhq_2afc/0/flickr_cat_000008.png,https://github.com/FlipTheCat/ubiquitous-octo-potato/upload/main/afhq_2afc/0/flickr_cat_000561.png,3,clip,https://github.com/FlipTheCat/ubiquitous-octo-potato/upload/main/afhq_2afc/0/flickr_cat_000561.png,4,cls_mse
https://github.com/FlipTheCat/ubiquitous-octo-potato/upload/main/afhq_2afc/1/flickr_cat_000008.png,https://github.com/FlipTheCat/ubiquitous-octo-potato/upload/main/afhq_2afc/1/flickr_cat_000160.png,4,clip,https://github.com/FlipTheCat/ubiquitous-octo-potato/upload/main/afhq_2afc/1/flickr_cat_000300.png,5,cls_mse
https://github.com/FlipTheCat/ubiquitous-octo-potato/upload/main/afhq_2afc/2/flickr_cat_000011.png,https://github.com/FlipTheCat/ubiquitous-octo-potato/upload/main/afhq_2afc/2/pixabay_cat_003117.png,4,clip,https://github.com/FlipTheCat/ubiquitous-octo-potato/upload/main/afhq_2afc/2/pixabay_cat_004210.png,2,cls_mse
https://github.com/FlipTheCat/ubiquitous-octo-potato/upload/main/afhq_2afc/3/flickr_cat_000011.png,https://github.com/FlipTheCat/ubiquitous-octo-potato/upload/main/afhq_2afc/3/pixabay_cat_003117.png,4,clip,https://github.com/FlipTheCat/ubiquitous-octo-potato/upload/main/afhq_2afc/3/pixabay_cat_001553.png,1,cls_mse
https://github.com/FlipTheCat/ubiquitous-octo-potato/upload/main/afhq_2afc/4/flickr_cat_000016.png,https://github.com/FlipTheCat/ubiquitous-octo-potato/upload/main/afhq_2afc/4/pixabay_cat_000039.png,4,clip,https://github.com/FlipTheCat/ubiquitous-octo-potato/upload/main/afhq_2afc/4/pixabay_cat_000488.png,3,cls_mse
https://github.com/FlipTheCat/ubiquitous-octo-potato/upload/main/afhq_2afc/5/flickr_cat_000016.png,https://github.com/FlipTheCat/ubiquitous-octo-potato/upload/main/afhq_2afc/5/pixabay_cat_000488.png,2,clip,https://github.com/FlipTheCat/ubiquitous-octo-potato/upload/main/afhq_2afc/5/pixabay_cat_002484.png,2,cls_mse
https://github.com/FlipTheCat/ubiquitous-octo-potato/upload/main/afhq_2afc/6/flickr_cat_000123.png,https://github.com/FlipTheCat/ubiquitous-octo-potato/upload/main/afhq_2afc/6/pixabay_cat_000602.png,1,cls_mse,https://github.com/FlipTheCat/ubiquitous-octo-potato/upload/main/afhq_2afc/6/pixabay_cat_003382.png,5,clip
https://github.com/FlipTheCat/ubiquitous-octo-potato/upload/main/afhq_2afc/7/flickr_cat_000123.png,https://github.com/FlipTheCat/ubiquitous-octo-potato/upload/main/afhq_2afc/7/pixabay_cat_003456.png,4,clip,https://github.com/FlipTheCat/ubiquitous-octo-potato/upload/main/afhq_2afc/7/pixabay_cat_003882.png,4,cls_mse
https://github.com/FlipTheCat/ubiquitous-octo-potato/upload/main/afhq_2afc/8/flickr_cat_000076.png,https://github.com/FlipTheCat/ubiquitous-octo-potato/upload/main/afhq_2afc/8/pixabay_cat_000320.png,3,clip,https://github.com/FlipTheCat/ubiquitous-octo-potato/upload/main/afhq_2afc/8/pixabay_cat_003601.png,4,cls_mse
https://github.com/FlipTheCat/ubiquitous-octo-potato/upload/main/afhq_2afc/9/flickr_cat_000076.png,https://github.com/FlipTheCat/ubiquitous-octo-potato/upload/main/afhq_2afc/9/pixabay_cat_000320.png,2,cls_mse,https://github.com/FlipTheCat/ubiquitous-octo-potato/upload/main/afhq_2afc/9/pixabay_cat_002711.png,5,clip
